자연앤힐스테이트 , 110L , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141998
자연앤힐스테이트 , 113N , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149666
자연앤힐스테이트 , 114M , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149667
힐스테이트영통 , 87A , 2017, 2,140, 0.40%, 77,000 ~ 83,000, 77000
힐스테이트영통 , 87B , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 87C , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 96 , 2017, 2,140, 0.40%, 87,000 ~ 92,000, 86998
힐스테이트영통 , 111A , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 105999
힐스테이트영통 , 110B , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 106000
힐스테이트영통 , 137 , 2017, 2,140, 0.40%, 115,000 ~ 130,000, 115000
광교호수마을참누리레이크 , 112A1 , 2011, 1,188, 0.37%, 111,000 ~ 126,000, 110999
광교호수마을참누리레이크 , 146A , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 134994
광교호수마을참누리레이크 , 146B , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
광교호수마을참누리레이크 , 146C , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
영통아이파크캐슬2단지 , 80A , 2019, 1,162, 0.21%, 64,000 ~ 69,000, 64000
영통아이파크캐슬2단지 , 79B , 2019, 1,162, 0.21%, 64,500 ~ 70,000, 64499
영통아이파크캐슬2단지 , 100 , 2019, 1,162, 0.21%, 80,000 ~ 86,500, 80000
영통아이파크캐슬2단지 , 111 , 2019, 1,162, 0.21%, 87,000 ~ 95,500, 86998
영통아이파크캐슬2단지 , 137 , 2019, 1,162, 0.21%, 100,000 ~ 111,500, 99999
영통아이파크캐슬1단지 , 80A , 2019, 1,783, 0.18%, 71,500 ~ 75,500, 71500
영통아이파크캐슬1단지 , 79B , 2019, 1,783, 0.18%, 73,000 ~ 77,000, 73000
영통아이파크캐슬1단지 , 100 , 2019, 1,783, 0.18%, 86,500 ~ 95,000, 86497
영통아이파크캐슬1단지 , 110 , 2019, 1,783, 0.18%, 95,500 ~ 104,500, 95496
영통아이파크캐슬1단지 , 137 , 2019, 1,783, 0.18%, 108,500 ~ 121,500, 108500
자연앤힐스테이트 , 110L , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141998
자연앤힐스테이트 , 113N , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149666
자연앤힐스테이트 , 114M , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149667
힐스테이트영통 , 87A , 2017, 2,140, 0.40%, 77,000 ~ 83,000, 77000
힐스테이트영통 , 87B , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 87C , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 96 , 2017, 2,140, 0.40%, 87,000 ~ 92,000, 86998
힐스테이트영통 , 111A , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 105999
힐스테이트영통 , 110B , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 106000
힐스테이트영통 , 137 , 2017, 2,140, 0.40%, 115,000 ~ 130,000, 115000
광교호수마을참누리레이크 , 112A1 , 2011, 1,188, 0.37%, 111,000 ~ 126,000, 110999
광교호수마을참누리레이크 , 146A , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 134994
광교호수마을참누리레이크 , 146B , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
광교호수마을참누리레이크 , 146C , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
영통아이파크캐슬2단지 , 80A , 2019, 1,162, 0.21%, 64,000 ~ 69,000, 64000
영통아이파크캐슬2단지 , 79B , 2019, 1,162, 0.21%, 64,500 ~ 70,000, 64499
영통아이파크캐슬2단지 , 100 , 2019, 1,162, 0.21%, 80,000 ~ 86,500, 80000
영통아이파크캐슬2단지 , 111 , 2019, 1,162, 0.21%, 87,000 ~ 95,500, 86998
영통아이파크캐슬2단지 , 137 , 2019, 1,162, 0.21%, 100,000 ~ 111,500, 99999
영통아이파크캐슬1단지 , 80A , 2019, 1,783, 0.18%, 71,500 ~ 75,500, 71500
영통아이파크캐슬1단지 , 79B , 2019, 1,783, 0.18%, 73,000 ~ 77,000, 73000
영통아이파크캐슬1단지 , 100 , 2019, 1,783, 0.18%, 86,500 ~ 95,000, 86497
영통아이파크캐슬1단지 , 110 , 2019, 1,783, 0.18%, 95,500 ~ 104,500, 95496
영통아이파크캐슬1단지 , 137 , 2019, 1,783, 0.18%, 108,500 ~ 121,500, 108500
자연앤힐스테이트 , 110L , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141998
자연앤힐스테이트 , 113N , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149666
자연앤힐스테이트 , 114M , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149667
힐스테이트영통 , 87A , 2017, 2,140, 0.40%, 77,000 ~ 83,000, 77000
힐스테이트영통 , 87B , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 87C , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 96 , 2017, 2,140, 0.40%, 87,000 ~ 92,000, 86998
힐스테이트영통 , 111A , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 105999
힐스테이트영통 , 110B , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 106000
힐스테이트영통 , 137 , 2017, 2,140, 0.40%, 115,000 ~ 130,000, 115000
광교호수마을참누리레이크 , 112A1 , 2011, 1,188, 0.37%, 111,000 ~ 126,000, 110999
광교호수마을참누리레이크 , 146A , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 134994
광교호수마을참누리레이크 , 146B , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
광교호수마을참누리레이크 , 146C , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
영통아이파크캐슬2단지 , 80A , 2019, 1,162, 0.21%, 64,000 ~ 69,000, 64000
영통아이파크캐슬2단지 , 79B , 2019, 1,162, 0.21%, 64,500 ~ 70,000, 64499
영통아이파크캐슬2단지 , 100 , 2019, 1,162, 0.21%, 80,000 ~ 86,500, 80000
영통아이파크캐슬2단지 , 111 , 2019, 1,162, 0.21%, 87,000 ~ 95,500, 86998
영통아이파크캐슬2단지 , 137 , 2019, 1,162, 0.21%, 100,000 ~ 111,500, 99999
영통아이파크캐슬1단지 , 80A , 2019, 1,783, 0.18%, 71,500 ~ 75,500, 71500
영통아이파크캐슬1단지 , 79B , 2019, 1,783, 0.18%, 73,000 ~ 77,000, 73000
영통아이파크캐슬1단지 , 100 , 2019, 1,783, 0.18%, 86,500 ~ 95,000, 86497
영통아이파크캐슬1단지 , 110 , 2019, 1,783, 0.18%, 95,500 ~ 104,500, 95496
영통아이파크캐슬1단지 , 137 , 2019, 1,783, 0.18%, 108,500 ~ 121,500, 108500
자연앤힐스테이트 , 110L , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141998
자연앤힐스테이트 , 113N , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149666
자연앤힐스테이트 , 114M , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149667
힐스테이트영통 , 87A , 2017, 2,140, 0.40%, 77,000 ~ 83,000, 77000
힐스테이트영통 , 87B , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 87C , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 96 , 2017, 2,140, 0.40%, 87,000 ~ 92,000, 86998
힐스테이트영통 , 111A , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 105999
힐스테이트영통 , 110B , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 106000
힐스테이트영통 , 137 , 2017, 2,140, 0.40%, 115,000 ~ 130,000, 115000
광교호수마을참누리레이크 , 112A1 , 2011, 1,188, 0.37%, 111,000 ~ 126,000, 110999
광교호수마을참누리레이크 , 146A , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 134994
광교호수마을참누리레이크 , 146B , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
광교호수마을참누리레이크 , 146C , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
영통아이파크캐슬2단지 , 80A , 2019, 1,162, 0.21%, 64,000 ~ 69,000, 64000
영통아이파크캐슬2단지 , 79B , 2019, 1,162, 0.21%, 64,500 ~ 70,000, 64499
영통아이파크캐슬2단지 , 100 , 2019, 1,162, 0.21%, 80,000 ~ 86,500, 80000
영통아이파크캐슬2단지 , 111 , 2019, 1,162, 0.21%, 87,000 ~ 95,500, 86998
영통아이파크캐슬2단지 , 137 , 2019, 1,162, 0.21%, 100,000 ~ 111,500, 99999
영통아이파크캐슬1단지 , 80A , 2019, 1,783, 0.18%, 71,500 ~ 75,500, 71500
영통아이파크캐슬1단지 , 79B , 2019, 1,783, 0.18%, 73,000 ~ 77,000, 73000
영통아이파크캐슬1단지 , 100 , 2019, 1,783, 0.18%, 86,500 ~ 95,000, 86497
영통아이파크캐슬1단지 , 110 , 2019, 1,783, 0.18%, 95,500 ~ 104,500, 95496
영통아이파크캐슬1단지 , 137 , 2019, 1,783, 0.18%, 108,500 ~ 121,500, 108500
자연앤힐스테이트 , 110L , 2012, 1,764, 0.55%, 142,000 ~ 158,333, 141998
자연앤힐스테이트 , 113N , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149666
자연앤힐스테이트 , 114M , 2012, 1,764, 0.55%, 149,667 ~ 159,000, 149667
힐스테이트영통 , 87A , 2017, 2,140, 0.40%, 77,000 ~ 83,000, 77000
힐스테이트영통 , 87B , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 87C , 2017, 2,140, 0.40%, 76,000 ~ 81,000, 76000
힐스테이트영통 , 96 , 2017, 2,140, 0.40%, 87,000 ~ 92,000, 86998
힐스테이트영통 , 111A , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 105999
힐스테이트영통 , 110B , 2017, 2,140, 0.40%, 106,000 ~ 115,000, 106000
힐스테이트영통 , 137 , 2017, 2,140, 0.40%, 115,000 ~ 130,000, 115000
광교호수마을참누리레이크 , 112A1 , 2011, 1,188, 0.37%, 111,000 ~ 126,000, 110999
광교호수마을참누리레이크 , 146A , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 134994
광교호수마을참누리레이크 , 146B , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
광교호수마을참누리레이크 , 146C , 2011, 1,188, 0.37%, 135,000 ~ 150,000, 135000
영통아이파크캐슬2단지 , 80A , 2019, 1,162, 0.21%, 64,000 ~ 69,000, 64000
영통아이파크캐슬2단지 , 79B , 2019, 1,162, 0.21%, 64,500 ~ 70,000, 64499
영통아이파크캐슬2단지 , 100 , 2019, 1,162, 0.21%, 80,000 ~ 86,500, 80000
영통아이파크캐슬2단지 , 111 , 2019, 1,162, 0.21%, 87,000 ~ 95,500, 86998
영통아이파크캐슬2단지 , 137 , 2019, 1,162, 0.21%, 100,000 ~ 111,500, 99999
영통아이파크캐슬1단지 , 80A , 2019, 1,783, 0.18%, 71,500 ~ 75,500, 71500
영통아이파크캐슬1단지 , 79B , 2019, 1,783, 0.18%, 73,000 ~ 77,000, 73000
영통아이파크캐슬1단지 , 100 , 2019, 1,783, 0.18%, 86,500 ~ 95,000, 86497
영통아이파크캐슬1단지 , 110 , 2019, 1,783, 0.18%, 95,500 ~ 104,500, 95496
영통아이파크캐슬1단지 , 137 , 2019, 1,783, 0.18%, 108,500 ~ 121,500, 108500
